Año;Album;Streams
2003;Get Rich Or Die Tryin' 50 Cent;5015462958
2003;Meteora Linkin Park;4857430359
2003;Fallen Evanescence;2573148885
2003;Dangerously In Love Beyoncé;2464362757
2003;Speakerboxxx/The Love Below Outkast;2211349865
2004;Hot Fuss The Killers;4060162609
2004;Encore Eminem;3386228369
2004;Confessions Usher;3299536656
2004;American Idiot Green Day;2758705949
2004;Hopes And Fears Keane;2566351836
2005;Demon Days Gorillaz;2948130686
2005;In Between Dreams Jack Johnson;2803420126
2005;X&Y Coldplay;2527392067
2005;Late Registration Kanye West;2491103690
2005;The Massacre 50 Cent;2378962508
2006;Back To Black Amy Winehouse;4261114016
2006;The Black Parade / Living With Ghosts My Chemical Romance;3806924926
2006;Stadium Arcadium Red Hot Chili Peppers;2989597344
2006;Loose Nelly Furtado;2953534601
2006;Konvicted Akon;2417997343
2007;Graduation Kanye West;6355810973
2007;Good Girl Gone Bad Rihanna;5570160652
2007;Favourite Worst Nightmare Arctic Monkeys;4075391033
2007;Minutes To Midnight Linkin Park;2733270633
2007;Oracular Spectacular MGMT;2313245470
2008;The Fame / The Fame Monster Lady Gaga;7029921065
2008;I Am...Sasha Fierce Beyoncé;3935537492
2008;Only By The Night Kings of Leon;3212467798
2008;Viva La Vida Or Death And All His Friends Coldplay;3191610805
2008;We Sing. We Dance. We Steal Things. Jason Mraz;2963479787
2009;One More Love David Guetta;3288304738
2009;The E.N.D. (The Energy Never Dies) Black Eyed Peas;3087011081
2009;Man On The Moon: The End Of Day Kid Cudi;3007076499
2009;The Time Of Our Lives Miley Cyrus;2898815286
2009;Lungs Florence + The Machine;2636288380
2010;Doo-Wops & Hooligans Bruno Mars;8836895099
2010;Teenage Dream Katy Perry;7426655469
2010;Recovery Eminem;4699656635
2010;My Beautiful Dark Twisted Fantasy Kanye West;4287368290
2010;Loud Rihanna;4188312373
2011;21 Adele;7493158989
2011;Take Care Drake;5248985573
2011;Nothing But The Beat David Guetta;4945525074
2011;Christmas Michael Bublé;4292450846
2011;Plus (+) Ed Sheeran;3995037918
2012;Born To Die Lana Del Rey;8289318753
2012;Night Visions Imagine Dragons;7474237617
2012;Unorthodox Jukebox Bruno Mars;6485788863
2012;Good Kid, M.A.A.D City Kendrick Lamar;5765676787
2012;Overexposed Maroon 5;5616595718
2013;AM Arctic Monkeys;10206282905
2013;Midnight Memories One Direction;4872924425
2013;I Love You. The Neighbourhood;4866221444
2013;True Avicii;4564715759
2013;Pure Heroine Lorde;4327682098
2014;Multiply (x) Ed Sheeran;10966001277
2014;In The Lonely Hour Sam Smith;10361486253
2014;1989 Taylor Swift;8491505731
2014;My Everything Ariana Grande;6861604115
2014;Hozier Hozier;6478917901
2015;Purpose Justin Bieber;10557976750
2015;Beauty Behind The Madness The Weeknd;9772778063
2015;Blurryface Twenty One Pilots;7462148539
2015;25 Adele;7051872305
2015;Hamilton Lin-Manuel Miranda & Various Artists;6819967165
2016;Starboy The Weeknd;15152427933
2016;Views Drake;10011741047
2016;Stoney Post Malone;9241536498
2016;Anti Rihanna;7460170379
2016;Illuminate Shawn Mendes;7295387804
2017;Divide (÷) Ed Sheeran;15323020727
2017;Dua Lipa Dua Lipa;12852757647
2017;Don't Smile At Me Billie Eilish;9970505546
2017;17 XXXTentacion;8929152487
2017;Damn. Kendrick Lamar;8621977772
2018;Beerbongs & Bentleys Post Malone;12046850283
2018;? XXXTentacion;11188440264
2018;Scorpion Drake;10375008655
2018;Goodbye & Good Riddance Juice WRLD;9450330122
2018;Astroworld Travis Scott;9434301979
2019;Hollywood's Bleeding Post Malone;13278726012
2019;When We All Fall Asleep, Where Do We Go? Billie Eilish;11498199337
2019;Lover Taylor Swift;11341908986
2019;Fine Line Harry Styles;9716691468
2019;Divinely Uninspired To A Hellish Extent Lewis Capaldi;9106944832
2020;After Hours The Weeknd;13072041994
2020;Future Nostalgia Dua Lipa;12864136126
2020;YHLQMDLG Bad Bunny;10217500867
2020;Folklore Taylor Swift;8793733474
2020;Shoot For The Stars, Aim For The Moon Pop Smoke;8057010293
2021;Sour Olivia Rodrigo;13299987680
2021;Justice Justin Bieber;8490045825
2021;Planet Her Doja Cat;8132042435
2021;Equals (=) Ed Sheeran;6087040101
2021;Montero Lil Nas X;5912252786
2022;Un Verano Sin Ti Bad Bunny;17671530034
2022;Midnights Taylor Swift;9723433449
2022;SOS SZA;9168843798
2022;Harry's House Harry Styles;8338027632
2022;Heroes & Villains Metro Boomin;5512600611
2023;Mañana Será Bonito Karol G;6417254621
2023;One Thing At A Time Morgan Wallen;5867198629
2023;Génesis Peso Pluma;5029393185
2023;Utopia Travis Scott;4739308898
2023;Nadie Sabe Lo Que Va A Pasar Mañana Bad Bunny;4452620829
